"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2019/01/02 20:00:00","WEST","1954","1"
"2019/01/02 21:00:00","CAPITL","1474","2"
"2019/01/02 21:00:00","CENTRL","1977","2"
"2019/01/02 21:00:00","DUNWOD","710","2"
"2019/01/02 21:00:00","GENESE","1203","2"
"2019/01/02 21:00:00","HUD VL","1198","2"
"2019/01/02 21:00:00","LONGIL","2521","2"
"2019/01/02 21:00:00","MHK VL","887","2"
"2019/01/02 21:00:00","MILLWD","364","2"
"2019/01/02 21:00:00","N.Y.C.","6046","2"
"2019/01/02 21:00:00","NORTH","692","2"
"2019/01/02 21:00:00","WEST","1884","2"
"2019/01/02 22:00:00","CAPITL","1365","3"
"2019/01/02 22:00:00","CENTRL","1846","3"
"2019/01/02 22:00:00","DUNWOD","648","3"
"2019/01/02 22:00:00","GENESE","1118","3"
"2019/01/02 22:00:00","HUD VL","1107","3"
"2019/01/02 22:00:00","LONGIL","2304","3"
"2019/01/02 22:00:00","MHK VL","823","3"
"2019/01/02 22:00:00","MILLWD","330","3"
"2019/01/02 22:00:00","N.Y.C.","5710","3"
"2019/01/02 22:00:00","NORTH","669","3"
"2019/01/02 22:00:00","WEST","1787","3"
"2019/01/02 23:00:00","CAPITL","1271","4"
"2019/01/02 23:00:00","CENTRL","1738","4"
"2019/01/02 23:00:00","DUNWOD","585","4"
"2019/01/02 23:00:00","GENESE","1049","4"
"2019/01/02 23:00:00","HUD VL","1019","4"
"2019/01/02 23:00:00","LONGIL","2078","4"
"2019/01/02 23:00:00","MHK VL","771","4"
"2019/01/02 23:00:00","MILLWD","298","4"
"2019/01/02 23:00:00","N.Y.C.","5302","4"
"2019/01/02 23:00:00","NORTH","653","4"
"2019/01/02 23:00:00","WEST","1686","4"
"2019/01/03 00:00:00","CAPITL","1175","5"
"2019/01/03 00:00:00","CENTRL","1631","5"
"2019/01/03 00:00:00","DUNWOD","519","5"
"2019/01/03 00:00:00","GENESE","981","5"
"2019/01/03 00:00:00","HUD VL","923","5"
"2019/01/03 00:00:00","LONGIL","1877","5"
"2019/01/03 00:00:00","MHK VL","719","5"
"2019/01/03 00:00:00","MILLWD","264","5"
