,Season,DayType,load_class,hour,load,sdh_total_load,p_total_load
228,May,Weekday,801,1,163.16500000000002,4111.65,0.03968358201695184
229,May,Saturday,801,1,152.3425,3818.648,0.03989435527966966
230,May,Sunday,801,1,143.108,3416.2130000000006,0.04189083057760157
231,June,Weekday,801,1,184.8268181818182,4488.624181818182,0.041176719345425675
232,June,Saturday,801,1,167.4475,4026.102,0.04159047634660026
233,June,Sunday,801,1,163.32999999999998,3710.4145000000003,0.04401934069630225
234,July,Weekday,801,1,194.3314285714286,4526.849095238095,0.042928629711966905
235,July,Saturday,801,1,185.786,4120.606,0.0450870575832778
236,July,Sunday,801,1,178.364,3906.5400000000004,0.04565779436534631
237,August,Weekday,801,1,189.65434782608705,4426.559434782608,0.04284464054313576
238,August,Saturday,801,1,170.17499999999998,4213.6050000000005,0.04038703200703435
239,August,Sunday,801,1,160.8425,3906.7625000000007,0.04117027845946611
240,September,Weekday,801,1,171.32045454545457,4163.980090909092,0.0411434374817223
241,September,Saturday,801,1,158.84,3955.9659999999994,0.04015201343995374
242,September,Sunday,801,1,149.555,3575.4619999999995,0.0418281609481516
243,October,Weekday,801,1,175.39476190476188,3935.3936666666673,0.04456854301270542
244,October,Saturday,801,1,165.092,3566.9369999999994,0.046283968570232675
245,October,Sunday,801,1,156.854,3290.7490000000003,0.04766513641727157
246,November,Weekday,801,1,176.68772727272724,3802.774909090909,0.046462841345233916
247,November,Saturday,801,1,166.73999999999998,3371.3680000000004,0.049457668222513816
248,November,Sunday,801,1,159.0375,3229.642,0.04924307400015234
249,December,Weekday,801,1,189.7504545454546,3701.4058181818186,0.05126442867014853
250,December,Saturday,801,1,174.902,3410.9649999999997,0.05127639832129617
251,December,Sunday,801,1,167.02500000000003,3255.9925000000003,0.051297722583820454
252,January,Weekday,802,1,363.422,4205.975476190477,0.08640611483763717
253,January,Saturday,802,1,296.745,3717.102,0.07983235326875615
254,January,Sunday,802,1,251.951,3461.8579999999993,0.0727791261224464
255,February,Weekday,802,1,329.058,4192.294,0.07849115543900309
256,February,Saturday,802,1,309.937,3781.853,0.08195374066628185
257,February,Sunday,802,1,258.363,3536.9165000000003,0.07304752600181542
258,March,Weekday,802,1,320.681,4061.4103478260877,0.07895803982762979
259,March,Saturday,802,1,253.186,3690.661,0.06860180330840465
260,March,Sunday,802,1,214.67,3425.4330000000004,0.06266944938056006
261,April,Weekday,802,1,320.122,4056.580095238096,0.078914255970388
262,April,Saturday,802,1,252.119,3558.652,0.07084677006911606
263,April,Sunday,802,1,203.359,3349.986,0.06070443279464452
264,May,Weekday,802,1,315.283,4111.65,0.07668040810866684
265,May,Saturday,802,1,286.951,3818.648,0.07514465852835873
266,May,Sunday,802,1,213.464,3416.2130000000006,0.062485565156505156
267,June,Weekday,802,1,358.268,4488.624181818182,0.07981688497139415
268,June,Saturday,802,1,311.452,4026.102,0.07735819907195596
269,June,Sunday,802,1,229.319,3710.4145000000003,0.061804146140545746
270,July,Weekday,802,1,390.919,4526.849095238095,0.08635565086788896
271,July,Saturday,802,1,328.445,4120.606,0.07970793616278771
272,July,Sunday,802,1,266.398,3906.5400000000004,0.06819282536464492
273,August,Weekday,802,1,389.772,4426.559434782608,0.08805303661739763
274,August,Saturday,802,1,369.717,4213.6050000000005,0.08774363045420724
275,August,Sunday,802,1,287.408,3906.7625000000007,0.07356679603636002
276,September,Weekday,802,1,386.414,4163.980090909092,0.09279919489615931
277,September,Saturday,802,1,366.073,3955.9659999999994,0.09253694293631443
278,September,Sunday,802,1,293.811,3575.4619999999995,0.08217427566004058
279,October,Weekday,802,1,378.409,3935.3936666666673,0.09615531051065537
280,October,Saturday,802,1,348.654,3566.9369999999994,0.09774604934149385
281,October,Sunday,802,1,274.809,3290.7490000000003,0.08350955967775117
282,November,Weekday,802,1,357.484,3802.774909090909,0.09400608990697797
283,November,Saturday,802,1,298.248,3371.3680000000004,0.08846497920132124
284,November,Sunday,802,1,256.407,3229.642,0.07939177159573724
285,December,Weekday,802,1,306.999,3701.4058181818186,0.08294118912656871
286,December,Saturday,802,1,257.573,3410.9649999999997,0.07551323452454071
287,December,Sunday,802,1,207.015,3255.9925000000003,0.06357969190653848
288,January,Weekday,803,1,605.644,4205.975476190477,0.14399608448229861
289,January,Saturday,803,1,564.99,3717.102,0.15199744316943684
290,January,Sunday,803,1,540.201,3461.8579999999993,0.15604366210283616
291,February,Weekday,803,1,620.14,4192.294,0.14792378587952085
292,February,Saturday,803,1,587.116,3781.853,0.15524558992641965
293,February,Sunday,803,1,559.128,3536.9165000000003,0.15808346055101952
294,March,Weekday,803,1,609.042,4061.4103478260877,0.14995825288276918
295,March,Saturday,803,1,568.458,3690.661,0.15402606741719166
296,March,Sunday,803,1,539.595,3425.4330000000004,0.15752607042671685
297,April,Weekday,803,1,606.001,4056.580095238096,0.1493871649943181
298,April,Saturday,803,1,556.259,3558.652,0.15631171578451616
299,April,Sunday,803,1,535.478,3349.986,0.1598448471127939
300,May,Weekday,803,1,611.99,4111.65,0.1488429219413131
301,May,Saturday,803,1,590.389,3818.648,0.15460681372045812
302,May,Sunday,803,1,545.291,3416.2130000000006,0.1596185600839292
303,June,Weekday,803,1,651.841,4488.624181818182,0.1452206675355838
304,June,Saturday,803,1,609.218,4026.102,0.15131708039190264
305,June,Sunday,803,1,582.338,3710.4145000000003,0.1569468855838074
306,July,Weekday,803,1,649.22,4526.849095238095,0.14341542789286496
307,July,Saturday,803,1,609.857,4120.606,0.14800177449627555
308,July,Sunday,803,1,587.58,3906.5400000000004,0.1504093136125574
309,August,Weekday,803,1,612.128,4426.559434782608,0.13828527754311337
310,August,Saturday,803,1,590.155,4213.6050000000005,0.14005940281540388
311,August,Sunday,803,1,573.952,3906.7625000000007,0.146912437088254
312,September,Weekday,803,1,589.052,4163.980090909092,0.14146369270257403
313,September,Saturday,803,1,574.51,3955.9659999999994,0.14522622287451412
314,September,Sunday,803,1,521.755,3575.4619999999995,0.14592659633915842
315,October,Weekday,803,1,556.134,3935.3936666666673,0.1413159767752163
316,October,Saturday,803,1,513.75,3566.9369999999994,0.14403113932205702
317,October,Sunday,803,1,485.112,3290.7490000000003,0.14741689505945302
318,November,Weekday,803,1,539.097,3802.774909090909,0.1417641098638879
319,November,Saturday,803,1,494.025,3371.3680000000004,0.14653547165423647
320,November,Sunday,803,1,477.934,3229.642,0.14798358455828853
321,December,Weekday,803,1,528.744,3701.4058181818186,0.14284950799037927
322,December,Saturday,803,1,490.935,3410.9649999999997,0.1439284777181824
323,December,Sunday,803,1,480.033,3255.9925000000003,0.14743062215284586
324,January,Weekday,804,1,1885.008,4205.975476190477,0.4481737971775643
325,January,Saturday,804,1,1531.714,3717.102,0.41207209272169554
326,January,Sunday,804,1,1430.834,3461.8579999999993,0.41331389097993054
327,February,Weekday,804,1,1931.508,4192.294,0.46072818366269164
328,February,Saturday,804,1,1625.873,3781.853,0.42991438324017356
329,February,Sunday,804,1,1493.231,3536.9165000000003,0.4221844083681365
330,March,Weekday,804,1,1885.925,4061.4103478260877,0.4643522418288664
331,March,Saturday,804,1,1647.855,3690.661,0.44649318916042413
332,March,Sunday,804,1,1508.285,3425.4330000000004,0.44031951581011797
333,April,Weekday,804,1,1894.825,4056.580095238096,0.46709912180072105
334,April,Saturday,804,1,1570.212,3558.652,0.4412378619769508
335,April,Sunday,804,1,1467.969,3349.986,0.4382015327825251
336,May,Weekday,804,1,1966.271,4111.65,0.4782194496126859
337,May,Saturday,804,1,1731.054,3818.648,0.4533159379969036
338,May,Sunday,804,1,1535.788,3416.2130000000006,0.4495586194420546
339,June,Weekday,804,1,2147.076,4488.624181818182,0.47833721715821975
340,June,Saturday,804,1,1839.928,4026.102,0.4569998474951703
341,June,Sunday,804,1,1663.71,3710.4145000000003,0.4483892567798018
342,July,Weekday,804,1,2096.183,4526.849095238095,0.4630556389001407
343,July,Saturday,804,1,1833.707,4120.606,0.44500905934709606
344,July,Sunday,804,1,1699.589,3906.5400000000004,0.43506248496111644
345,August,Weekday,804,1,2075.084,4426.559434782608,0.46878033167127436
346,August,Saturday,804,1,1934.51,4213.6050000000005,0.45911042919305434
347,August,Sunday,804,1,1742.849,3906.7625000000007,0.44611081426116883
348,September,Weekday,804,1,1953.314,4163.980090909092,0.4690978240420806
349,September,Saturday,804,1,1780.206,3955.9659999999994,0.4500053842727668
350,September,Sunday,804,1,1585.47,3575.4619999999995,0.4434308069838248
351,October,Weekday,804,1,1851.403,3935.3936666666673,0.4704492502698374
352,October,Saturday,804,1,1582.319,3566.9369999999994,0.4436072181818743
353,October,Sunday,804,1,1447.135,3290.7490000000003,0.43975854737021874
354,November,Weekday,804,1,1753.617,3802.774909090909,0.4611414143413551
355,November,Saturday,804,1,1441.301,3371.3680000000004,0.4275122146262288
356,November,Sunday,804,1,1401.018,3229.642,0.43379978338156366
357,December,Weekday,804,1,1649.588,3701.4058181818186,0.4456652636944036
358,December,Saturday,804,1,1447.712,3410.9649999999997,0.4244288639725122
359,December,Sunday,804,1,1344.152,3255.9925000000003,0.41282404673843687
360,January,Weekday,805,1,994.091,4205.975476190477,0.23635206758275934
361,January,Saturday,805,1,971.353,3717.102,0.26131997453930506
362,January,Sunday,805,1,895.58,3461.8579999999993,0.2586992302977188
363,February,Weekday,805,1,951.913,4192.294,0.22706255811257514
364,February,Saturday,805,1,907.782,3781.853,0.24003629966579876
365,February,Sunday,805,1,884.487,3536.9165000000003,0.2500729095527135
366,March,Weekday,805,1,910.148,4061.4103478260877,0.22409653840744417
367,March,Saturday,805,1,892.532,3690.661,0.24183527015892275
368,March,Sunday,805,1,844.618,3425.4330000000004,0.2465726230815199
369,April,Weekday,805,1,920.604,4056.580095238096,0.22694091534903277
370,April,Saturday,805,1,876.01,3558.652,0.24616343491861525
371,April,Sunday,805,1,844.455,3349.986,0.2520771728598269
372,May,Weekday,805,1,915.751,4111.65,0.22272104872739656
373,May,Saturday,805,1,916.384,3818.648,0.2399760334023979
374,May,Sunday,805,1,837.512,3416.2130000000006,0.2451580156155368
375,June,Weekday,805,1,994.131,4488.624181818182,0.221477887150114
376,June,Saturday,805,1,946.879,4026.102,0.23518504995650882
377,June,Sunday,805,1,918.435,3710.4145000000003,0.24752894858512434
378,July,Weekday,805,1,1036.119,4526.849095238095,0.22888304385713215
379,July,Saturday,805,1,1001.319,4120.606,0.24300284958086263
380,July,Sunday,805,1,1012.527,3906.5400000000004,0.25918766990738606
381,August,Weekday,805,1,1005.625,4426.559434782608,0.2271798255091964
382,August,Saturday,805,1,998.388,4213.6050000000005,0.23694389958242407
383,August,Sunday,805,1,991.336,3906.7625000000007,0.2537487241673892
384,September,Weekday,805,1,925.921,4163.980090909092,0.22236441572367133
385,September,Saturday,805,1,936.072,3955.9659999999994,0.23662286278496836
386,September,Sunday,805,1,884.536,3575.4619999999995,0.2473906868538947
